sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1549872063.94","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549872063.076143",0,"1549688400.000000000","1549861199.000000000",0,1549872063,1,0,"1549688400.000000000","1549861199.000000000",completed,"1.03",,,,,,,,,,,,,,,
"1549958461.1217","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1549958461.644509",0,"1549774800.000000000","1549947599.000000000",0,1549958461,39,0,"1549774800.000000000","1549947599.000000000",completed,"0.112",,,,,,,,,,,,,,,
"1549958462.1218","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1549958462.596591",0,"1549774800.000000000","1549947599.000000000",0,1549958462,1,0,"1549774800.000000000","1549947599.000000000",completed,"0.07100000000000001",,,,,,,,,,,,,,,
"1549958463.1219","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1549958463.351655",0,"1549774800.000000000","1549947599.000000000",0,1549958463,1,0,"1549774800.000000000","1549947599.000000000",completed,"1.039",,,,,,,,,,,,,,,
"1550044861.2489","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1550044861.616769",0,"1549861200.000000000","1550033999.000000000",0,1550044861,39,0,"1549861200.000000000","1550033999.000000000",completed,"0.11800000000000001",,,,,,,,,,,,,,,
"1550044862.2490","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1550044862.449749",0,"1549861200.000000000","1550033999.000000000",0,1550044862,1,0,"1549861200.000000000","1550033999.000000000",completed,"0.051000000000000004",,,,,,,,,,,,,,,
"1550044863.2491","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1550044863.206379",0,"1549861200.000000000","1550033999.000000000",0,1550044863,1,0,"1549861200.000000000","1550033999.000000000",completed,"1.066",,,,,,,,,,,,,,,
"1550131261.3562","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1550131261.780806",0,"1549947600.000000000","1550120399.000000000",0,1550131261,39,0,"1549947600.000000000","1550120399.000000000",completed,"0.14400000000000002",,,,,,,,,,,,,,,
"1550131262.3563","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1550131262.752098",0,"1549947600.000000000","1550120399.000000000",0,1550131262,1,0,"1549947600.000000000","1550120399.000000000",completed,"0.08",,,,,,,,,,,,,,,
"1550131263.3564","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1550131263.584725",0,"1549947600.000000000","1550120399.000000000",0,1550131263,1,0,"1549947600.000000000","1550120399.000000000",completed,"1.377",,,,,,,,,,,,,,,
"1550217661.4828","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1550217661.794719",0,"1550034000.000000000","1550206799.000000000",0,1550217661,39,0,"1550034000.000000000","1550206799.000000000",completed,"0.12",,,,,,,,,,,,,,,
"1550217662.4829","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1550217662.657187",0,"1550034000.000000000","1550206799.000000000",0,1550217662,1,0,"1550034000.000000000","1550206799.000000000",completed,"0.056",,,,,,,,,,,,,,,
"1550217663.4830","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1550217663.282025",0,"1550034000.000000000","1550206799.000000000",0,1550217663,1,0,"1550034000.000000000","1550206799.000000000",completed,"1.0090000000000001",,,,,,,,,,,,,,,
"1550304061.6067","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1550304061.914712",0,"1550120400.000000000","1550293199.000000000",0,1550304062,39,0,"1550120400.000000000","1550293199.000000000",completed,"0.138",,,,,,,,,,,,,,,
"1550304062.6068","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1550304062.781888",0,"1550120400.000000000","1550293199.000000000",0,1550304062,1,0,"1550120400.000000000","1550293199.000000000",completed,"0.045",,,,,,,,,,,,,,,
"1550304063.6069","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1550304063.491348",0,"1550120400.000000000","1550293199.000000000",0,1550304063,1,0,"1550120400.000000000","1550293199.000000000",completed,"1.133",,,,,,,,,,,,,,,
"1550995261.5998","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1550995261.910350",0,"1550206800.000000000","1550984399.000000000",0,1550995262,39,0,"1550206800.000000000","1550984399.000000000",completed,"0.168",,,,,,,,,,,,,,,
"1550995263.5999","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1550995263.281024",0,"1550206800.000000000","1550984399.000000000",0,1550995263,1,0,"1550206800.000000000","1550984399.000000000",completed,"0.052000000000000005",,,,,,,,,,,,,,,
"1550995264.6000","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1550995264.091420",0,"1550206800.000000000","1550984399.000000000",0,1550995264,1,0,"1550206800.000000000","1550984399.000000000",completed,"1.301",,,,,,,,,,,,,,,
"1553413737.11586","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1553413737.957924",0,"1550898000.000000000","1553399999.000000000",0,1553413738,41,0,"1550898000.000000000","1553399999.000000000",completed,"0.234",,,,,,,,,,,,,,,
"1553413739.11587","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1553413739.355680",0,"1550898000.000000000","1553399999.000000000",0,1553413739,1,0,"1550898000.000000000","1553399999.000000000",completed,"0.068",,,,,,,,,,,,,,,
"1553413740.11588","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1553413740.079934",0,"1550898000.000000000","1553399999.000000000",0,1553413740,1,0,"1550898000.000000000","1553399999.000000000",completed,"1.373",,,,,,,,,,,,,,,
"1553497261.12193","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1553497261.529329",0,"1553313600.000000000","1553486399.000000000",0,1553497261,41,0,"1553313600.000000000","1553486399.000000000",completed,"0.113",,,,,,,,,,,,,,,
"1553497262.12194","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1553497262.424654",0,"1553313600.000000000","1553486399.000000000",0,1553497262,1,0,"1553313600.000000000","1553486399.000000000",completed,"0.056",,,,,,,,,,,,,,,
"1553497263.12195","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1553497263.191034",0,"1553313600.000000000","1553486399.000000000",0,1553497263,1,0,"1553313600.000000000","1553486399.000000000",completed,"1.158",,,,,,,,,,,,,,,
"1554102272.17262","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1554102272.276634",0,"1553400000.000000000","1554091199.000000000",0,1554102272,41,0,"1553400000.000000000","1554091199.000000000",completed,"0.234",,,,,,,,,,,,,,,
"1554102273.17263","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1554102273.966833",0,"1553400000.000000000","1554091199.000000000",0,1554102273,1,0,"1553400000.000000000","1554091199.000000000",completed,"0.075",,,,,,,,,,,,,,,
"1554102275.17264","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1554102275.016387",0,"1553400000.000000000","1554091199.000000000",0,1554102275,1,0,"1553400000.000000000","1554091199.000000000",completed,"1.411",,,,,,,,,,,,,,,
"1554191774.18226","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1554191774.343595",0,"1554004800.000000000","1554177599.000000000",0,1554191774,41,0,"1554004800.000000000","1554177599.000000000",completed,"0.202",,,,,,,,,,,,,,,
"1554191775.18227","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1554191775.922164",0,"1554004800.000000000","1554177599.000000000",0,1554191775,1,0,"1554004800.000000000","1554177599.000000000",completed,"0.074",,,,,,,,,,,,,,,
"1554191777.18228","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1554191777.162641",0,"1554004800.000000000","1554177599.000000000",0,1554191777,1,0,"1554004800.000000000","1554177599.000000000",completed,"1.985",,,,,,,,,,,,,,,
"1554706862.717","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1554706862.839179",0,"1554091200.000000000","1554695999.000000000",0,1554706863,41,0,"1554091200.000000000","1554695999.000000000",completed,"0.209",,,,,,,,,,,,,,,
"1554706864.718","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1554706864.691672",0,"1554091200.000000000","1554695999.000000000",0,1554706865,1,0,"1554091200.000000000","1554695999.000000000",completed,"0.659",,,,,,,,,,,,,,,
"1554706867.719","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1554706867.358784",0,"1554091200.000000000","1554695999.000000000",0,1554706871,1,0,"1554091200.000000000","1554695999.000000000",completed,"2.755",,,,,,,,,,,,,,,
"1554793263.1775","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1554793263.344213",0,"1554609600.000000000","1554782399.000000000",0,1554793263,41,0,"1554609600.000000000","1554782399.000000000",completed,"0.197",,,,,,,,,,,,,,,
"1554793265.1776","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1554793265.139529",0,"1554609600.000000000","1554782399.000000000",0,1554793265,1,0,"1554609600.000000000","1554782399.000000000",completed,"0.08",,,,,,,,,,,,,,,
"1554793266.1777","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1554793266.341915",0,"1554609600.000000000","1554782399.000000000",0,1554793266,1,0,"1554609600.000000000","1554782399.000000000",completed,"1.844",,,,,,,,,,,,,,,
"1555398061.1371","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1555398061.385674",0,"1554696000.000000000","1555387199.000000000",0,1555398061,40,0,"1554696000.000000000","1555387199.000000000",completed,"0.132",,,,,,,,,,,,,,,
"1555398062.1372","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1555398062.318710",0,"1554696000.000000000","1555387199.000000000",0,1555398062,1,0,"1554696000.000000000","1555387199.000000000",completed,"0.059000000000000004",,,,,,,,,,,,,,,
"1555398062.1373","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1555398062.928708",0,"1554696000.000000000","1555387199.000000000",0,1555398062,1,0,"1554696000.000000000","1555387199.000000000",completed,"1.183",,,,,,,,,,,,,,,
"1555484461.2469","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1555484461.470152",0,"1555300800.000000000","1555473599.000000000",0,1555484461,40,0,"1555300800.000000000","1555473599.000000000",completed,"0.12",,,,,,,,,,,,,,,
"1555484462.2470","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1555484462.412624",0,"1555300800.000000000","1555473599.000000000",0,1555484462,1,0,"1555300800.000000000","1555473599.000000000",completed,"0.053",,,,,,,,,,,,,,,
"1555484463.2471","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1555484463.045361",0,"1555300800.000000000","1555473599.000000000",0,1555484463,1,0,"1555300800.000000000","1555473599.000000000",completed,"1.1300000000000001",,,,,,,,,,,,,,,
"1555570861.3465","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1555570861.430425",0,"1555387200.000000000","1555559999.000000000",0,1555570861,40,0,"1555387200.000000000","1555559999.000000000",completed,"0.14",,,,,,,,,,,,,,,
"1555570862.3466","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1555570862.424349",0,"1555387200.000000000","1555559999.000000000",0,1555570862,1,0,"1555387200.000000000","1555559999.000000000",completed,"0.049",,,,,,,,,,,,,,,
"1555570863.3467","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1555570863.116954",0,"1555387200.000000000","1555559999.000000000",0,1555570863,1,0,"1555387200.000000000","1555559999.000000000",completed,"1.09",,,,,,,,,,,,,,,
"1555743661.4436","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1555743661.734025",0,"1555473600.000000000","1555732799.000000000",0,1555743661,40,0,"1555473600.000000000","1555732799.000000000",completed,"0.123",,,,,,,,,,,,,,,
"1555743662.4437","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1555743662.715994",0,"1555473600.000000000","1555732799.000000000",0,1555743662,1,0,"1555473600.000000000","1555732799.000000000",completed,"0.054",,,,,,,,,,,,,,,
"1555743663.4438","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1555743663.341285",0,"1555473600.000000000","1555732799.000000000",0,1555743663,1,0,"1555473600.000000000","1555732799.000000000",completed,"1.063",,,,,,,,,,,,,,,
"1556002861.6896","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1556002861.651372",0,"1555646400.000000000","1555991999.000000000",0,1556002861,40,0,"1555646400.000000000","1555991999.000000000",completed,"0.162",,,,,,,,,,,,,,,
"1556002862.6897","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1556002862.604319",0,"1555646400.000000000","1555991999.000000000",0,1556002862,1,0,"1555646400.000000000","1555991999.000000000",completed,"0.061",,,,,,,,,,,,,,,
"1556002863.6898","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1556002863.272525",0,"1555646400.000000000","1555991999.000000000",0,1556002863,1,0,"1555646400.000000000","1555991999.000000000",completed,"1.069",,,,,,,,,,,,,,,
"1556089261.7946","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1556089261.489598",0,"1555905600.000000000","1556078399.000000000",0,1556089261,40,0,"1555905600.000000000","1556078399.000000000",completed,"0.123",,,,,,,,,,,,,,,
"1556089262.7947","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1556089262.479904",0,"1555905600.000000000","1556078399.000000000",0,1556089262,1,0,"1555905600.000000000","1556078399.000000000",completed,"0.057",,,,,,,,,,,,,,,
"1556089263.7948","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1556089263.105371",0,"1555905600.000000000","1556078399.000000000",0,1556089263,1,0,"1555905600.000000000","1556078399.000000000",completed,"1.038",,,,,,,,,,,,,,,
"1556262061.9740","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1556262061.437694",0,"1555992000.000000000","1556251199.000000000",0,1556262061,40,0,"1555992000.000000000","1556251199.000000000",completed,"0.122",,,,,,,,,,,,,,,
"1556262062.9741","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1556262062.489850",0,"1555992000.000000000","1556251199.000000000",0,1556262062,1,0,"1555992000.000000000","1556251199.000000000",completed,"0.06",,,,,,,,,,,,,,,
